油高(m),储油量(L)
0.1,8278.367090312528
0.2,8945.522392812147
0.30000000000000004,10032.115285416889
0.4,11401.036354981681
0.5,12977.350375497323
0.6,14720.15193597711
0.7000000000000001,16600.573554009774
0.8,18596.114814032815
0.9,20688.161566523166
1.0,22860.663880634063
1.1,25099.350468763874
1.2000000000000002,27391.21488983316
1.3000000000000003,29724.15762755016
1.4000000000000001,32086.721348677416
1.5000000000000002,34559.81935329814
1.6,37162.13591659233
1.7000000000000002,39809.958973789704
1.8000000000000003,42855.49311620953
1.9000000000000001,45924.758843939846
2.0,48944.329152365586
2.1,51886.88066311359
2.2,54728.482045814504
2.3000000000000003,57444.96336372816
2.4000000000000004,60010.983247179014
2.5000000000000004,62399.3323779108
2.6,64580.03657042939
2.7,66519.01121525053
2.8000000000000003,60227.91147597537
2.9000000000000004,61611.00193632254
3.0000000000000004,62629.264890580846
